Title,Location,Price,Time
Dell 3160 Touch Laptop 6th gen 4Gb/500gb New condition,"Muslim Town, Faisalabad•","Rs 18,500",2 weeks ago
"Laptop / Lenovo Yoga 730 / 13.3"" / 2 IN 1 / Touchscreen","DHA Defence, Lahore•","Rs 190,000",1 week ago
HP probook 650 Laptop,"Gulshan-e-Iqbal, Karachi•","Rs 30,000",46 minutes ago
Dell I7 7th generation,"Jaffria Bazar, Multan•","Rs 44,000",47 minutes ago
I phone 13 Pro Non PTA,"Bahria Town - Sector B, Lahore•","Rs 165,000",48 minutes ago
HP 14s Laptop,"Wah Cantt, Wah•","Rs 85,000",47 minutes ago
"Dell Core i5 
, third generation
8GB Ram
500 GB hard",Pakistan•,"Rs 25,000",50 minutes ago
gaming case/ case / Viking gaming case,"Khokhar Town, Faisalabad•","Rs 19,999",51 minutes ago
lenovo laptop,"Others, Peshawar•","Rs 47,000",51 minutes ago
Dell precision 6700,"Ghani Khan Road, Charsadda•","Rs 36,000",53 minutes ago
Branded Keyboards and Mouse Original Products in Pakistan,"Samanabad, Lahore•",Rs 500,51 minutes ago
ELSA White Radeon RX 580 8GB GDDR5 256bit GPU full new not used,"Others, Swabi•","Rs 32,000",53 minutes ago
we buy all dead electronic items like laptop computer lcds printers AC,"Shera Kot, Lahore•","Rs 10,000",52 minutes ago
urgent sall,"Shah Town, Karachi•","Rs 21,000",53 minutes ago
Gaming PC i5 4590 PC 8gb ram 1gb gpu,"New Sattelite Town, Jauharabad•","Rs 22,500",54 minutes ago
"HP Elitebook 745 G4 AMD A10, 8GB, 256GB SSD, 14","Gulberg 1, Lahore•","Rs 50,000",1 day ago
Macbook Pro m2 8.256 MNEH3 Space Grey Apple Latest NEW SEALED INACTIVE,"DHA Phase 1, Lahore•","Rs 359,999",3 weeks ago
"Apple macbook air 2014 13.3""","Korang Town, Islamabad•","Rs 53,000",3 days ago
switchs | CISCO NEXUS 3064 pqx 10GE & 9372 PXE 48 PORT 10G x 4 x 40GB,"Others, Lahore•","Rs 350,000",3 weeks ago
Dell latitude 5490 i7 8th,"Housing Colony, Sheikhüpura•","Rs 99,999",2 weeks ago
Acer 4th Gen Slimmest New Laptop 128GB SSD 2GB Ram Windows 10,"Ghulam Mohammad Abad, Faisalabad•","Rs 12,999",2 days ago
"Quanta NL8K (i7, 16 Ram, 1050Ti]","Dora Road, Peshawar•","Rs 155,000",54 minutes ago
Laptop For sale,"Sabzazar, Lahore•","Rs 22,000",53 minutes ago
"TP Link, Tenda, D Link Double Antenna 840, Archer C20","Landhi 2, Karachi•",Rs 500,54 minutes ago
Gaming Pc Dell Optiplex 7010 Tower Intel Ci5,"DHA Phase 1, Lahore•","Rs 45,000",54 minutes ago
Dell 3040 Mini/Tiny Computer PC,"Shah Rukn-e-Alam Colony, Multan•","Rs 28,500",53 minutes ago
Baseus Gan2 pro charger,"CPC Colony, Dera Ghazi Khan•","Rs 12,000",54 minutes ago
Mini Tab,"Mohalla Banni, Rawalpindi•","Rs 20,000",56 minutes ago
apple MacBook Air,"Blue Area, Islamabad•","Rs 55,000",56 minutes ago
Toshiba Tecra I7 6th Gen,"Sultan Town, Lahore•","Rs 63,000",57 minutes ago
Hp Elite book Leptop,"E-11/3, Islamabad•","Rs 25,000",57 minutes ago
Dell laptop core i7 6th Generation,"Airport Road, Quetta•","Rs 67,000",57 minutes ago
sp4 speakers,"ARL Colony, Rawalpindi•","Rs 40,000",57 minutes ago
"hp elitebook 850 G5 i7 8th Generation 15.6 "" Touch Screen 8/256","DHA Phase 1, Lahore•","Rs 110,000",57 minutes ago
Apple macbook Air 2015 13.3,"I-10, Islamabad•","Rs 63,000",4 weeks ago
Lenovo Thinkpad Core i5 / 6th Gen,"PWD Housing Scheme, Islamabad•","Rs 46,000",4 days ago
Gaming P. C,"Bhimber Road, Gujrat•","Rs 450,000",1 week ago
MacBook Pro 2017 1 tb SSD excellent condition,"University Town, Peshawar•","Rs 215,000",2 weeks ago
ThinkPad Lenovo T450 T460s T470 T490s T490 T550 L580 T590 x1 Yoga,"Shoukat Town, Lahore•","Rs 33,000",3 weeks ago
"Lenovo X380 Yoga i5 8th Gen 8GB , 256GB SSD with Stylus Pen","Saddar, Rawalpindi•","Rs 60,000",2 days ago
HP G6 840 16/256,"DHA Defence, Lahore•","Rs 85,000",56 minutes ago
"HPe Dell Cisco Server Dell R720, R730, R740, R750, DL380 G8 G9 G10","Blue Area, Islamabad•","Rs 15,000",55 minutes ago
richo 2050,"Jamaldin Wali Road, Sadiqabad•","Rs 50,000",58 minutes ago
HP core i5,"GT Road, Kamoke•","Rs 55,000",58 minutes ago
Laptop Delp Letitude E6420,"Airport, Karachi•","Rs 21,000",59 minutes ago
"Dell P2314H 23"" LED Monitor","Nazimabad, Karachi•","Rs 8,500",1 hour ago
"hp elitebook 840 G5 I7 8th Generation 8/256 14 "" Display","DHA Phase 1, Lahore•","Rs 90,000",58 minutes ago
Dell latitude 6440 core i5 4 generation,"Sheikh Maltoon Town, Mardan•","Rs 34,500",58 minutes ago
DELL Keyboard Dock 11 Pro Tablet,"Misri Shah, Lahore•","Rs 7,000",59 minutes ago
Sale for laptop,"Sector 22-G, Wah•","Rs 48,000",1 hour ago
MacBook Air m2 chip 2022 for sale 0349/2360/899,"Others, Faisalabad•","Rs 121,000",1 hour ago
500 WATT DEEPCOOL PSU,"Naval Housing Scheme, Karachi•","Rs 6,000",1 hour ago
High End Gaming Pc,"Gulshan-e-Iqbal, Karachi•","Rs 85,000",1 hour ago
dell i7 7th 16gb ram 256 gb ssd touch 360 dell 9370,"Satellite Town, Rawalpindi•","Rs 79,999",4 weeks ago
Dell latitude 5400 Core i5 8th gen laptop 8/256 ssd,"Gulberg, Lahore•","Rs 60,000",5 hours ago
Apple MacBook pro all models available MacBook air all models availa,"Jail Road, Lahore•","Rs 199,000",3 days ago
Acer chromebook C740 windows 10 4gb ram 128 gb ssd 11.6 inch screen,"Saddar Town, Karachi•","Rs 14,000",5 days ago
"Lenovo LEGION 5 Gaming Laptop - Ryzen 5600H, 24 GB RAM, GTX-1650","Mohni Road, Lahore•","Rs 210,000",2 weeks ago
Lenovo ideapad  Core I5 10th Generation/Laptop for sale,"Sami Town, Lahore•","Rs 82,000",2 weeks ago
Lenovo Thinkpad X240,"Airline Housing Society, Lahore•","Rs 22,000",1 hour ago
Hp Elite X2 G4 i5-8th 8gb 256gb 13 inch,"Blue Area, Islamabad•","Rs 85,000",1 hour ago
"HP Laser P1102w wireless Printer & All Model Printers,Toner Cartridges","Saddar, Karachi•","Rs 28,500",1 hour ago
desktop ddr4 16gb new rams,"Islampura, Lahore•","Rs 8,500",1 hour ago
Microsoft type c charger,"North Karachi, Karachi•","Rs 1,500",1 hour ago
8GB DDR4 GAMING RAM,"Naval Housing Scheme, Karachi•","Rs 3,500",1 hour ago
4 GB DDR3 DEXTOP RAM,"Gulberg 3, Lahore•","Rs 1,500",1 hour ago
keyboard,"Ranchore Line Bazar, Karachi•",Rs 500,1 hour ago
HP 840 G3 8GB/256GB,"Abbasia Town, Rahimyar Khan•","Rs 52,000",1 hour ago
Gigabytes GTX 1660 SUPER 6GB 192-BIT IN MINT CONDITION.,"G-6 Markaz, Islamabad•","Rs 44,000",1 hour ago
Dell Latitude E5470 Core i5 6th generation 8gb RAM 256gb SSD,"University Town, Peshawar•","Rs 43,000",1 hour ago
Lenovo Thinkpad e11,"Saddar Town, Karachi•","Rs 16,500",1 hour ago
Dell LATITUDE E5420 (Core i5 2nd Gen),"Model Town Extension, Lahore•","Rs 29,000",1 hour ago
HP 840 G5 Core i7 Gen 8TH,"Nazimabad, Karachi•","Rs 78,000",1 week ago
Dell Latitude 5290 Corei5 Gen 8th,"Aisha Manzil, Karachi•","Rs 47,500",2 weeks ago
"Laptop Chargers Dell, HP, LENOVO, ACER, ASUS Bulk Quantity Available","Allama Iqbal Town, Lahore•","Rs 1,550",2 weeks ago
HP ELITEBOOK 840 G4 Laptop,"7th Avenue, Islamabad•","Rs 59,000",1 week ago
laptop kam tab,"Green Town, Gujranwala•","Rs 260,000",2 weeks ago
"HP OMEN 16,Core i7 11th Gen. 11800H,Nvidia RTX 3050,16GB RAM,512GB SSD","Sabzazar, Lahore•","Rs 265,000",4 days ago
NetGear Ex 2700,"7th Avenue, Islamabad•","Rs 8,500",1 hour ago
AMD R9 270 2GB GDDR5/READ ADD,"Metroville, Karachi•","Rs 4,000",1 hour ago
laptop,"Pir Bahawal Sher Road, Lahore•","Rs 14,000",1 hour ago
1gb graphics card ddr3,"Qadirabad, Kasur•","Rs 1,500",1 hour ago
Rx 570 4gb,"Sadiqabad, Rawalpindi•","Rs 25,000",1 hour ago
HIKVISION,"Gulistan-e-Jauhar Block 19, Karachi•","Rs 3,000",1 hour ago
"laptop 256 gb ssd
16 gb ram 
core i5
8th gen","Ichhra, Lahore•","Rs 82,000",1 hour ago
hp laptop ellitebook,"I-11, Islamabad•","Rs 32,000",1 hour ago
i5 best price pc WhatsApp 03101018889,"Samanabad, Lahore•","Rs 20,000",1 hour ago
Headphone / gaming headphone / hp H100,"Khokhar Town, Faisalabad•","Rs 4,500",1 hour ago
Haier laptop y11c,"Chungi No 14, Multan•","Rs 35,000",1 hour ago
3364748371,"Al Jannat Homes, Lahore•","Rs 18,000",1 hour ago
Nvidia geforce gtx 750ti 2GB,"Khalaqabad, Mirpur•","Rs 25,000",1 hour ago
hp server | dl 580g9 4 processor 72 core vm wear server,"Bahria Town, Lahore•","Rs 400,000",3 weeks ago
DELL R640 | SAP | DATA SERVER | VMVR SERVER | DATA SERVER IN PAKISTAN,"Others, Faisalabad•","Rs 250,000",3 weeks ago
HP ELITEBOOK 840 G5 BRAND NEW 6 Months Warranty USA Fresh Stock,"G-13, Islamabad•","Rs 72,500",4 weeks ago
LENOVO THINKPAD T460s CORE I5 6TH GEN 8GB RAM 256 SSD LAPTOP,"I.I. Chundrigar Road, Karachi•","Rs 43,000",3 weeks ago
HP 840 G5 Core i7 Gen 8TH,"Nazimabad, Karachi•","Rs 78,000",1 week ago
Apple macbook air 2014 13.3,"Gulberg Residencia, Islamabad•","Rs 53,000",4 weeks ago
led bulb wholesale rate pa dastiyab ha,"Others, Wah•",Rs 160,1 hour ago
"Lenovo Ideapad 110 - 15 - 6th Gen Ci3 8GB RAM 128 SSD 15.6"" 720p - DVD","Rifah Aam, Karachi•","Rs 44,000",1 hour ago
pack of 2 laptop harddrive 1tb 100% health,"Liaquatabad, Karachi•","Rs 6,000",1 hour ago
hp dragon fly  i7 8th gen 16/512 ssd,"Venus Housing Scheme, Lahore•","Rs 100,000",1 hour ago
gaming pc computer,"Dabgari Gardens, Peshawar•","Rs 45,000",1 hour ago
One by Wacom Medium Creative Pen Graphics Tablet - CTL-672,"Nishatabad, Faisalabad•","Rs 24,500",1 hour ago
Dell laptop All okay Condition 10/9 Contact number03310442069,"DHA Phase 3, Lahore•","Rs 21,500",1 hour ago
Linksys WRT1900 AC Dual Router,"PWD Colony, Rawalpindi•","Rs 40,000",1 hour ago
graphics card 1gb ddr3 64bit 7450 gta 5,"Noor Shah Wali Colony, Kasur•","Rs 1,500",1 hour ago
all Epson xp 750 to 15000 6 color printer head 100%ok 10/10 condition,"Westridge, Rawalpindi•","Rs 35,000",1 hour ago
Hp Victus 15 GTX 1650 4GB,"D Ground, Faisalabad•","Rs 170,000",1 hour ago
"Samsung 6545N MultiXpress. Copier Printer, Scanner.","Lalarukh Colony, Rawalpindi•","Rs 50,000",1 hour ago
laptop bag 15.6” new condition,"DHA Phase 8, Lahore•","Rs 1,500",1 hour ago
*New* Complete Gaming PC Ryzen 5 5600 Rx 5700xt 1440p Build RGB,"DHA Phase 4, Karachi•","Rs 187,000",2 weeks ago
"HP ZBook Firefly 15 G8,Core i7 11th Gen. 4K,Nvidia T500 4GB,1TB SSD","Gulshan-e-Ravi, Lahore•","Rs 250,000",4 days ago
MSI KATANA GF66 // NVIDIA RTX 3060 //  I7-11gen // 16 GB RAM // WIN11,"F-7, Islamabad•","Rs 265,000",3 weeks ago
Macbook Pro & Air,"Gulberg, Lahore•","Rs 99,999",3 weeks ago
Microsoft Surface Laptop 3 Black 10th gen,"Johar Town, Lahore•","Rs 105,000",7 hours ago
"HP Victus 16,Core i5 12th Gen. 12500H,Nvidia RTX 3050 Ti,16GB RAM,512GB","Gulshan-e-Ravi, Lahore•","Rs 210,000",4 days ago
HP ELITEBOOK 840 G6,"Langeriali, Sialkot•","Rs 70,000",1 hour ago
Hp Elitebook 1030 G2 x360 (120HZ screen) i7,"Jhangi Syedan, Islamabad•","Rs 90,000",1 hour ago
Toshiba core i5 7 generation,"Peshawar Garden, Peshawar•","Rs 34,000",1 hour ago
Dell Ci7-10th Gen For Designing,"DHA Phase 3, Lahore•","Rs 110,000",1 hour ago
printer model 5610,"Samanabad, Lahore•","Rs 8,000",1 hour ago
i5 6th gen,"Hall Road, Lahore•","Rs 40,000",1 hour ago
i5 6th Dell,"New Karachi, Karachi•","Rs 38,000",1 hour ago
TP-Link,"Shahdara, Lahore•","Rs 1,200",1 hour ago
Toshiba dynabook core i5 3 generation,"University Town, Peshawar•","Rs 25,000",1 hour ago
Dell latitude E5440 Core i7 4th Generation | 2gb NVIDIA Graphics Card,"Ahmedpur Road, Bahawalpur•","Rs 38,000",2 hours ago
Dell Lattitude 7400,"DHA Phase 6, Lahore•","Rs 85,000",2 hours ago
Hyperx Alpha s Head phone,"Khanna Road, Rawalpindi•","Rs 13,500",2 hours ago
Hp Z220 Work Station,"F-6, Islamabad•","Rs 34,999",2 hours ago
Hp Victus 16 Core i5 11th Generation RTX 3050,"Saddar, Rawalpindi•","Rs 190,000",4 days ago
Lenovo ThinkPad 14 Gen 1 Core-i5 10th Generation Laptop,"Johar Town Phase 1, Lahore•","Rs 85,000",5 days ago
"Macbook Pro 2021 M1 Pro Laptop 14 Inch 16GB/1TB, 16Inch 16/512GB 10/10","DHA Phase 1, Lahore•","Rs 450,000",4 weeks ago
Core i7 Toshiba Dynabook Laptop,"Saddar, Peshawar•","Rs 130,000",2 days ago
"Dell i5 6th gen, backlight keyboard, 8/256 SSD - Tawakkal Laptops","Dharampura, Lahore•","Rs 46,000",4 weeks ago
Panasonic FZ55 8th gen 512gb RGB Getac Toughbook dell rugged hp lenovo,"Jhelum, Punjab•","Rs 123,456",1 week ago
"17"" computer LCD 12volt without adopter","Township - Sector B1, Lahore•","Rs 2,500",2 hours ago
goood,"Chak 12/BC, Bahawalpur•","Rs 20,000",2 hours ago
Laptop Dell core i3 ssd,"Gulshan-e-Ravi, Lahore•","Rs 15,500",2 hours ago
MacBook Air 2013,"Abdara Road, Peshawar•","Rs 36,000",2 hours ago
Dell Inspiron brand new for urgent sale what's 03270938715,"Township, Lahore•","Rs 35,000",2 hours ago
Dell Inspiron brand new for urgent sale My what's 03270938715,"Others, Lahore•","Rs 35,000",2 hours ago
Gaming PC & Professional Custom builds with Intel AMD & Nvidia,"Gulberg 4, Lahore•","Rs 180,000",2 hours ago
Lenovo Docking Station 4337 USB 3.0,"Airport, Karachi•","Rs 22,000",2 hours ago
laptop core i7 3rd generation 4gb ram 240gb hard disk,"China Scheme, Lahore•","Rs 30,000",2 hours ago
Dell i5 3rd gen,"TECH Town (TNT Colony), Faisalabad•","Rs 25,000",2 hours ago
Intel core i3 urgent for sale,"Scheme 33, Karachi•","Rs 15,000",2 hours ago
Hp Elitebook 850 g5 i7-8th gen (2gb Card),"Malir Cantonment, Karachi•","Rs 110,000",2 hours ago
Dell Laptop G5 5500 core i5 10th Gen,"Gazdarabad, Karachi•","Rs 167,000",2 hours ago
HP probook430 g1 i5 4th 8gb 500gb charger warranty UK import 13.3inchs,"Johar Town, Lahore•","Rs 26,000",5 days ago
"HP Victus 16,Core i7 12700H 24MB Cache,Nvidia RTX 3050 TI 4GB,16GB RAM","Gulshan-e-Ravi, Lahore•","Rs 274,999",4 days ago
HP Dell Lenovo Acer Asus Chromebook Laptops,"Johar Town, Lahore•","Rs 9,900",3 weeks ago
Gaming PC And WorkStation urgent sale,"Johar Town, Lahore•","Rs 140,000",2 weeks ago
HP Envy 15 // i7 10th Gen // GTX 1660 Ti // 1TB SSD // 16GB RAM,"DHA Phase 3, Lahore•","Rs 210,000",7 hours ago
"Dell i5 6th gen, backlight keyboard, 8/256 SSD - Tawakkal Laptops","Dharampura, Lahore•","Rs 46,000",4 weeks ago
EASE EAF1213 CPU Air Cooler,"Federal B Area, Karachi•","Rs 4,000",2 hours ago
dell Inspiron mini 2gb ram 500 SSD and processor intel core,"Shadman 2, Karachi•","Rs 3,000",2 hours ago
Nvidia GeForce GT 610,"Tajpura, Lahore•","Rs 1,800",2 hours ago
